3.00786e-07,
2.27426e-06,
-2.73037e-06,
5.85165e-07,
-1.03528e-06,
-3.72771e-06,
5.82077e-06,
1.3872e-06,
2.62076e-07,
-4.0289e-07,
2.10307e-06,
3.24263e-07,
3.85588e-06,
1.93353e-06,
3.04585e-06,
2.41844e-06,
-1.53517e-05,
-4.37219e-06,
9.69902e-07,
-1.45445e-06,
-5.9639e-07,
5.9852e-07,
2.51928e-06,
2.49539e-07,
-3.10071e-06,
-1.82323e-07,
1.66254e-07,
6.83857e-07,
-1.74725e-06,
-7.80207e-07,
-9.50639e-07,
-3.683e-07,
6.70492e-07,
8.83705e-07,
-5.47634e-06,
-2.43094e-06,
5.99335e-07,
6.2348e-07,
-5.27875e-07,
-5.05315e-07,
6.29823e-09,
-2.88569e-07,
-2.62682e-07,
-3.30678e-07,
-5.2912e-07,
-5.26677e-07,
-5.85484e-07,
-7.12385e-07,
-6.04903e-07,
-22.1396,
-1.10452e-06,
-5.99522e-07,
-6.70771e-07,
-125.516,
-92.7976,
-102.148,
-102.692,
-99.3697,
-207.552,
-207.536,
-207.568,
-100.55,
-207.518,
-207.544,
-207.558,
-207.569,
-207.529,
-207.57,
-207.561,
-207.55,
-207.511,
-93.6461,
-104.667,
-207.568,
-107.108,
-207.538,
-207.558,
-207.519,
-207.503,
-207.567,
-207.551,
-207.659,
-207.561,
-207.503,
-207.529,
-207.365,
-207.378,
-207.641,
-207.393,
-71.5338,
-207.41,
-207.354,
-207.502,
-207.558,
-207.668,
-207.429,
-112.282,
-207.375,
-207.628,
-207.395,
-207.527,
-207.442,
-207.486,
-207.414,
-207.341,
-207.653,
-207.676,
-207.461,
-207.606,
-207.364,
-105.653,
-207.388,
-207.422,
-207.566,
-207.516,
-207.34,
-107.303,
-207.645,
-207.678,
-207.63,
-207.455,
-207.662,
-207.4,
-119.538,
-207.364,
-207.599,
-207.338,
-207.563,
-207.681,
-207.508,
-207.377,
-207.431,
-207.633,
-207.671,
-207.648,
-207.604,
-207.661,
-144.81,
-207.561,
-207.348,
-137.359,
-207.367,
-207.48,
-207.641,
-207.388,
-148.934,
-207.614,
-207.532,
-207.654,
-207.403,
-207.631,
-207.674,
-207.267,
-211.847,
-215.138,
-228.617,
-207.549,
-158.523,
-210.318,
-207.396,
-207.731,
-207.636,
-209.264,
-208.448,
-207.872,
-207.451,
-207.693,
-207.208,
-207.1,
-207.524,
-179.042,
-208.433,
-172.374,
-202.857,
-209.428,
-208.88,
-172.369,
-207.261,
-172.379,
-207.874,
-172.381,
-172.362,
-206.033,
-207.478,
-172.455,
-173.391,
-207.273,
-172.382,
-172.373,
-207.649,
-172.458,
-206.98,
-172.378,
-207.047,
-207.344,
-172.461,
-172.382,
-172.363,
-172.453,
-207.179,
-206.067,
-172.374,
-207.086,
-172.354,
-172.38,
-172.456,
-207.046,
-172.45,
-189.796,
-198.717,
-174.485,
-172.366,
-172.453,
-172.379,
-206.409,
-172.46,
-205.629,
-172.357,
-202.051,
-172.449,
-206.935,
-172.373,
-206.897,
-172.456,
-172.464,
-172.389,
-172.361,
-172.453,
-180.918,
-172.446,
-206.45,
-203.79,
-172.429,
-206.916,
-172.366,
-172.404,
-172.352,
-172.456,
-173.264,
-172.353,
-198.431,
-172.382,
-193.116,
-172.462,
-172.459,
-172.465,
-204.371,
-205.466,
-172.452,
-175.492,
-172.435,
-172.362,
-201.568,
-185.779,
-206.858,
-202.734,
-172.347,
-172.405,
-172.346,
-172.377,
-198.422,
-172.46,
-172.432,
-172.452,
-206.536,
-172.465,
-194.28,
-172.339,
-201.845,
-203.295,
-200.591,
-204.497,
-189.593,
-200.052,
-172.34,
-172.461,
-172.367,
-172.421,
-205.542,
-172.398,
-172.461,
-172.442,
-194.133,
-175.693,
-172.318,
-184.663,
-171.938,
-179.875,
-172.355,
-194.612,
-189.922,
-172.789,
-172.275,
-172.453,
-172.425,
-172.398,
-172.442,
-172.47,
-172.195,
-193.672,
-172.309,
-185.682,
-189.951,
-172.362,
-172.473,
-172.456,
-172.061,
-172.475,
-193.27,
-172.427,
-172.443,
-181.218,
-186.018,
-172.405,
-172.466,
-174.904,
-172.314,
-189.587,
-172.55,
-171.681,
-171.629,
-171.884,
-172.456,
-192.395,
-186.638,
-172.47,
-182.49,
-172.189,
-177.232,
-172.476,
-172.448,
-171.65,
-172.424,
-172.375,
-172.46,
-191.089,
-178.541,
-173.817,
-171.733,
-171.475,
-182.709,
-171.722,
-186.266,
-172.068,
-172.468,
-179.357,
-172.453,
-172.989,
-171.463,
-169.677,
-174.995,
-172.293,
-171.356,
-189.616,
-176.111,
-172.474,
-172.461,
-168.781,
-171.906,
-178.691,
-171.447,
-171.112,
-172.455,
-171.404,
-172.47,
-172.198,
-175.501,
-180.592,
-172.175,
-166.849,
-183.926,
-172.466,
-172.459,
-171.236,
-165.171,
-171.761,
-167.778,
-172.1,
-186.845,
-171.752,
-164.282,
-174.894,
-167.652,
-171.966,
-164.774,
-163.11,
-171.453,
-169.2,
-176.677,
-163.259,
-162.372,
-165.038,
-180.867,
-171.425,
-184.196,
-161.401,
-162.186,
-166.866,
-163.442,
-160.743,
-178.773,
-174.674,
-169.584,
-160.147,
-161.562,
-164.719,
-179.044,
-170.02,
-156.864,
-174.002,
-162.936,
-159.584,
-160.89,
-165.951,
-156.793,
-156.955,
-175.585,
-156.71,
-159.415,
-157.072,
-158.24,
-161.323,
-156.648,
-156.919,
-159.884,
-156.591,
-156.777,
-157.318,
-157.73,
-162.81,
-157.162,
-169.042,
-165.886,
-157.31,
-157.298,
-158.743,
-171.086,
-172.414,
-156.637,
-157.075,
-157.209,
-156.686,
-157.325,
-160.007,
