-8.54159e-13,
1.37012e-12,
-7.10933e-12,
-2.41232e-12,
2.78182e-12,
-7.94129e-12,
-1.42215e-12,
6.17657e-12,
9.02457e-12,
1.27686e-11,
-3.57567e-12,
1.56777e-12,
-1.25763e-12,
-2.64949e-12,
-7.3849e-12,
4.51693e-12,
1.01859e-11,
-1.75135e-11,
7.46192e-12,
-6.53031e-12,
-3.24016e-12,
-7.9665e-13,
3.17735e-12,
4.27289e-12,
-5.21569e-12,
8.71927e-12,
1.07359e-12,
5.48185e-13,
5.6409e-13,
6.78429e-13,
-7.19771e-12,
2.00817e-12,
-2.79223e-12,
1.07472e-12,
277.004,
-0.0390348,
-1.91891e-13,
3.86868e-12,
-1.15217e-13,
-1.22201e-12,
6.84783e-14,
-3.88738e-13,
6.77927e-13,
4.82816e-14,
2.99772e-13,
-3.83416e-14,
9.5382e-14,
-5.30452e-13,
-6.55596e-13,
-92.6629,
1.32384e-13,
-7.07496e-16,
4.36942e-13,
-112.544,
138.407,
21.501,
-93.0273,
1.35158,
0.00413656,
-0.0159584,
0.0162872,
-24.1283,
-0.0265833,
-0.00152115,
-0.000579885,
0.015799,
-0.00305238,
0.0127038,
-0.000605669,
-0.00047131,
-0.0285157,
-15.5087,
110.562,
0.0125113,
-1.56679,
0.00481784,
0.0018632,
7.3764e-05,
-0.0199176,
0.0146384,
-0.000880894,
0.00694414,
0.0231931,
-0.0159507,
0.0117791,
-0.0118632,
0.00692945,
-0.0161642,
0.00705189,
-194.02,
0.00756174,
-0.0386922,
-0.0137977,
0.0793518,
0.0216951,
0.0185981,
12.8662,
-0.0031098,
-0.0159982,
-0.00196127,
0.00944408,
0.0306503,
-0.0328581,
-0.005581,
-0.050981,
0.00872599,
0.0321315,
0.0129247,
0.0298882,
-0.00983871,
28.5671,
-0.00557907,
0.00759054,
-0.0214412,
-0.00647366,
-0.0628169,
-94.7378,
0.00971319,
0.0315383,
0.0116392,
0.00485268,
0.00679083,
0.00815143,
-0.190947,
-0.0156488,
0.021892,
-0.0813286,
-0.0232629,
0.0211682,
-0.0258851,
0.0212827,
-0.00138704,
0.0595246,
0.0111873,
-0.00549344,
-0.01503,
