-2.48633e-08,
-7.40807e-08,
-4.94413e-07,
-1.77678e-07,
1.14054e-07,
-1.70595e-06,
2.45686e-06,
1.74105e-06,
-1.71143e-06,
-1.35481e-06,
1.33298e-06,
1.31782e-07,
9.6876e-07,
4.53613e-07,
1.5292e-06,
4.13511e-07,
-6.52967e-06,
-2.49382e-06,
-6.52473e-08,
-1.21085e-06,
-7.81368e-07,
2.33061e-07,
6.91659e-07,
-1.11092e-07,
-1.47054e-06,
-3.69267e-07,
-2.27921e-07,
2.3532e-07,
-8.82048e-07,
-4.88954e-07,
-3.86745e-07,
-7.37352e-08,
2.71122e-07,
4.94964e-07,
-2.11185e-06,
-1.38012e-06,
3.86822e-07,
1.50583e-07,
-3.93597e-07,
-2.68471e-07,
2.54112e-08,
-1.63216e-07,
-2.09168e-07,
-2.53559e-07,
-5.5286e-07,
-5.72034e-07,
-5.9881e-07,
-7.10342e-07,
-7.75409e-07,
-36.9379,
-9.4211e-07,
-7.65594e-07,
-1.01873e-06,
-58.9556,
-49.3377,
-50.6104,
-53.8639,
-51.0569,
-71.3194,
-71.2963,
-71.3408,
-48.1301,
-71.2668,
-71.3089,
-71.3263,
-71.3409,
-71.2889,
-71.3409,
-71.3297,
-71.3159,
-71.2607,
-27.9375,
-38.2263,
-71.3377,
-40.8985,
-71.3024,
-71.324,
-71.2784,
-71.2538,
-71.3345,
-71.3137,
-71.4306,
-71.3247,
-71.2599,
-71.2934,
-71.1678,
-71.1838,
-71.4024,
-71.1985,
11.351,
-71.215,
-71.1519,
-71.2653,
-71.3156,
-71.4424,
-71.2302,
-36.7776,
-71.1813,
-71.3836,
-71.2019,
-71.29,
-71.2381,
-71.2558,
-71.2185,
-71.1293,
-71.4202,
-71.4539,
-71.246,
-71.3585,
-71.1659,
-28.8815,
-71.1977,
-71.2254,
-71.3183,
-71.279,
-71.1274,
24.7002,
-71.4064,
-71.4554,
-71.384,
-71.2457,
-71.4311,
-71.2115,
-38.1619,
-71.1688,
-71.3486,
-71.1245,
-71.3132,
-71.4567,
-71.2767,
-71.1941,
-71.2344,
-71.3846,
-71.441,
-71.4062,
-71.3476,
-71.425,
-89.6058,
-71.3084,
-71.1529,
-49.4118,
-71.1838,
-71.26,
-71.3881,
-71.2128,
-62.3867,
-71.3458,
-71.2854,
-71.3888,
-71.2169,
-71.3483,
-71.3841,
-71.15,
-75.6385,
-79.7559,
-92.1318,
-71.2893,
-58.2415,
-73.7516,
-71.2038,
-71.4074,
-71.343,
-72.5741,
-71.8865,
-71.4816,
-71.2206,
-71.3747,
-71.1082,
-71.0729,
-71.2601,
-64.6599,
-71.9198,
-56.0597,
-71.7209,
-73.8255,
-72.4951,
-56.0467,
-71.1121,
-56.0689,
-71.4674,
-56.0747,
-56.0301,
-72.8071,
-71.2006,
-56.1783,
-61.4685,
-71.072,
-56.0748,
-56.058,
-71.3799,
-56.1856,
-71.0171,
-56.0684,
-71.0233,
-71.3584,
-56.1937,
-56.075,
-56.0372,
-56.1712,
-70.9712,
-70.8636,
-56.0605,
-70.9026,
-56.0082,
-56.0718,
-56.1788,
-70.9643,
-56.1644,
-67.3405,
-68.4843,
-59.7788,
-56.0463,
-56.1708,
-56.0691,
-70.4397,
-56.1888,
-69.9537,
-56.0245,
-68.3892,
-56.1606,
-70.9729,
-56.0598,
-70.7859,
-56.1789,
-56.201,
-56.0809,
-56.0403,
-56.1681,
-62.5094,
-56.1537,
-70.4228,
-68.474,
-56.1254,
-70.9358,
-56.0515,
-56.0938,
-56.0083,
-56.176,
-58.1942,
-56.0292,
-65.3221,
-56.0706,
-64.5565,
-56.1934,
-56.1863,
-56.2008,
-68.8758,
-69.7367,
-56.1631,
-59.4212,
-56.133,
-56.0488,
-65.8973,
-62.692,
-70.8424,
-67.3561,
-56.0107,
-56.0932,
-56.0331,
-56.0656,
-63.3879,
-56.1821,
-56.1246,
-56.1564,
-70.5138,
-56.2004,
-62.3829,
-56.0143,
-66.2991,
-67.9521,
-64.6863,
-69.0165,
-61.3844,
-62.5601,
-56.0335,
-56.1911,
-56.056,
-56.1072,
-69.7973,
-56.0817,
-56.165,
-56.1353,
-60.9281,
-58.1383,
-56.0218,
-59.5041,
-56.7624,
-58.7306,
-56.0443,
-59.8665,
-59.8153,
-57.2262,
-56.0036,
-56.1504,
-56.105,
-56.0729,
-56.1301,
-56.172,
-55.9961,
-58.3808,
-56.0212,
-58.2091,
-58.4787,
-56.0446,
-56.182,
-56.1512,
-55.9815,
-56.1928,
-56.4138,
-56.0977,
-56.1281,
-56.3457,
-56.8384,
-56.061,
-56.1677,
-55.9125,
-56.0212,
-55.7697,
-56.0736,
-56.3104,
-56.1131,
-55.9826,
-56.1487,
-54.3524,
