-2.1736e-05,
-1.33013e-06,
-3.41628e-05,
1.56136e-05,
-1.56644e-05,
8.77987e-06,
-2.94079e-05,
-2.5503e-05,
1.65434e-05,
8.96236e-06,
2.00784e-05,
-2.02363e-06,
6.31966e-06,
-1.75613e-06,
5.37693e-06,
-9.30281e-06,
8.81168e-05,
5.11e-05,
-6.37065e-07,
3.17867e-05,
2.6923e-05,
2.52913e-06,
-4.95257e-05,
-1.14304e-06,
-3.41446e-05,
-7.72366e-05,
-1.06685e-05,
2.49527e-07,
1.97183e-05,
1.58843e-05,
7.36275e-06,
-4.48819e-06,
-7.55482e-06,
-3.10305e-05,
-201.739,
242.948,
4.88969e-07,
7.41514e-08,
2.46234e-05,
-1.04119e-05,
1.62705e-06,
6.93765e-08,
5.46648e-06,
-7.94313e-08,
-8.99856e-08,
9.10926e-08,
-4.51023e-07,
7.56873e-07,
-4.57532e-07,
139.271,
-1.97957e-06,
9.32581e-07,
-8.09174e-07,
-243.932,
-98.8102,
-30.3399,
-2.74268,
12.4161,
-0.00396299,
0.0074541,
-0.013046,
24.1482,
0.0167431,
-0.00513685,
-0.00519205,
-0.0188599,
-0.000169212,
-0.0173381,
-0.00554028,
-0.00373741,
0.0204648,
1.96476,
-42.8955,
-0.0162379,
-4.07251,
0.00322367,
-0.00506305,
0.0227647,
0.0285248,
-0.0136976,
-0.019422,
-0.00400874,
-0.0167008,
0.0231575,
0.0229917,
0.00898822,
-0.00572975,
0.0164141,
-0.00976504,
164.075,
-0.0161549,
0.0231249,
0.0740503,
0.0247025,
-0.0223102,
-0.0248441,
-3.68339,
0.00152265,
0.0216821,
0.000505922,
0.0176868,
-0.0301436,
0.0234677,
-0.000466678,
0.0316091,
0.00845637,
-0.0165022,
0.0253235,
-0.0279924,
-0.00860169,
54.9935,
0.00290498,
0.0294152,
-0.0331488,
-0.0334695,
0.0315937,
-6.96029,
0.002715,
-0.0255252,
-0.0368417,
0.00785582,
-0.00248313,
0.0311001,
10.2746,
-0.00833306,
0.00792405,
0.0319868,
-0.0494646,
-0.0203723,
-0.0526356,
0.0668641,
-0.00225865,
