8.09452e-13,
-1.75269e-14,
-5.73194e-13,
1.14027e-13,
-7.44759e-14,
3.55279e-13,
-3.61681e-14,
-2.66493e-13,
9.08737e-14,
7.04365e-13,
-7.03269e-13,
1.78037e-13,
-5.50778e-14,
-1.93089e-13,
-9.26361e-14,
1.00825e-13,
-4.16009e-13,
-6.00675e-13,
2.04691e-13,
-1.5339e-13,
3.26806e-14,
-8.91665e-15,
3.69603e-15,
6.60881e-14,
-1.09862e-12,
-2.68864e-13,
-5.7604e-15,
-1.84461e-14,
-6.77895e-14,
9.30602e-14,
-1.56553e-13,
1.01569e-14,
-4.26983e-14,
-1.00446e-14,
-1.25062e-13,
-3.14404e-13,
-4.44713e-14,
2.77183e-14,
-6.7319e-15,
1.22529e-14,
-7.3944e-15,
-5.27507e-15,
-1.08993e-14,
-5.57568e-15,
-1.28028e-13,
-5.69347e-14,
-8.01678e-14,
6.22488e-14,
-1.3221e-13,
33.4014,
-9.84979e-14,
2.20968e-16,
-1.08672e-14,
23.8025,
96.7778,
59.0721,
26.9041,
29.2614,
32.1874,
32.2144,
32.1605,
29.4174,
32.2451,
32.1995,
32.1792,
32.1607,
32.2207,
32.1609,
32.1753,
32.1916,
32.2491,
42.459,
22.5502,
32.1649,
24.7782,
32.2058,
32.1825,
32.2279,
32.2523,
32.1689,
32.1958,
32.1272,
32.181,
32.243,
32.2134,
32.2994,
32.284,
32.1597,
32.2704,
74.9231,
32.2559,
32.3138,
32.2325,
32.1982,
32.1131,
32.2423,
20.8985,
32.2861,
32.1793,
32.2669,
32.2172,
32.2359,
32.2342,
32.2524,
32.3332,
32.1403,
32.0993,
32.2332,
32.1937,
32.2986,
19.3194,
32.2688,
32.2453,
32.2075,
32.2209,
32.3329,
13.3967,
32.1582,
32.0986,
32.1823,
32.2308,
32.1298,
32.2519,
12.7222,
32.2906,
32.2034,
32.3329,
32.2127,
32.0979,
32.2172,
32.2583,
32.2268,
32.1915,
32.1191,
32.1657,
32.2182,
32.1409,
-129.761,
32.2161,
32.295,
-2.5262,
32.2607,
32.2039,
32.2294,
32.2143,
-23.2714,
32.2456,
32.2095,
32.2881,
32.1616,
32.2935,
32.3956,
32.0827,
45.2071,
60.0147,
87.6039,
32.2368,
-9.05272,
38.9809,
32.1303,
32.5801,
32.3683,
35.6823,
33.8878,
32.9079,
32.1634,
32.5692,
31.979,
31.9155,
32.2788,
-5.14384,
33.7331,
0.149054,
10.4082,
35.3614,
34.4728,
0.169544,
31.9688,
0.132831,
32.7993,
0.121638,
0.19481,
20.0901,
32.2116,
0.0552741,
-5.49855,
31.9073,
0.121739,
0.152214,
32.1715,
0.0422986,
31.7931,
0.134642,
31.8012,
31.1075,
0.0283188,
0.121667,
0.181199,
0.0669347,
31.5803,
26.9863,
0.149281,
31.5354,
0.223856,
0.129972,
0.0543157,
31.6747,
0.0771733,
-1.23095,
8.59997,
-3.14288,
0.166612,
0.0671005,
0.13882,
30.0878,
0.0382419,
28.0799,
0.194821,
18.6494,
0.0815503,
31.7046,
0.150766,
31.2958,
0.0555365,
0.0154688,
0.131968,
0.171542,
0.0713229,
-1.31368,
0.0876065,
30.4516,
24.0867,
0.108753,
31.6241,
0.158359,
0.127366,
0.213367,
0.061948,
-1.98547,
0.180894,
13.2838,
0.143013,
5.93892,
0.0310915,
0.0458426,
0.0163348,
26.8409,
28.9036,
0.0782271,
-1.62766,
0.103771,
0.159351,
20.41,
2.62166,
31.4172,
24.0905,
0.200978,
0.130355,
0.16932,
0.147952,
15.2098,
0.0579774,
0.111324,
0.0865426,
30.6964,
0.0169256,
9.33106,
0.186703,
23.4951,
25.5816,
21.8481,
27.5126,
5.18062,
20.0307,
0.165732,
0.0369115,
0.154296,
0.125322,
29.116,
0.141349,
0.0817334,
0.10515,
8.79326,
0.211955,
0.167558,
3.26836,
-0.880378,
1.66588,
0.161268,
6.0828,
5.39833,
-0.594186,
0.163488,
0.0935101,
0.130241,
0.151912,
0.111235,
0.0771416,
0.137519,
5.30481,
0.162651,
3.77522,
4.79229,
0.163884,
0.0620256,
0.0946089,
0.0852021,
0.0416913,
5.86889,
0.14026,
0.115286,
2.91609,
4.18694,
0.167097,
0.0781093,
1.58162,
0.16586,
5.61092,
0.684917,
-0.371517,
-0.292656,
-0.00119987,
0.0981083,
6.11614,
5.04187,
0.0581485,
3.76996,
0.138563,
2.55784,
0.021939,
0.120272,
0.186941,
0.155131,
0.189956,
0.0846475,
6.47799,
3.48215,
2.41309,
1.69727,
-0.197124,
5.08235,
-0.0825417,
6.21078,
0.0868022,
0.0514388,
4.38657,
0.116186,
3.26952,
0.844757,
2.96295,
3.67741,
0.188124,
-0.0331376,
7.0357,
4.3215,
0.0206229,
0.079247,
3.78345,
0.0244651,
5.48448,
0.321231,
4.20338,
0.113255,
-0.0715529,
